Tag	F1	Method
8_0.85-0.9	0.666661111140741	MCC
8_0.85-0.9	0.666661111140741	MCC
8_0.85-0.9	0.7999936000312	MCC
8_0.85-0.9	0.666661111140741	MCC
8_0.85-0.9	0.666661111140741	MCC
8_0.85-0.9	0.666661111140741	MCC
8_0.85-0.9	0.666661111140741	MCC
8_0.85-0.9	0.666661111140741	MCC
8_0.85-0.9	0.666661111140741	MCC
8_0.90-0.95	0.666661111140741	MCC
8_0.90-0.95	0.666661111140741	MCC
8_0.90-0.95	0.666661111140741	MCC
8_0.90-0.95	0.666661111140741	MCC
8_0.90-0.95	0.666661111140741	MCC
8_0.90-0.95	0.727266776890007	MCC
8_0.90-0.95	0.5999946000286	MCC
8_0.95-1	0.727266776890007	MCC
8_0.95-1	0.666661111140741	MCC
8_0.95-1	0.666661111140741	MCC
8_0.95-1	0.666661111140741	MCC
8_0.95-1	0.666661111140741	MCC
8_0.95-1	0.727266776890007	MCC
8_0.95-1	0.666661111140741	MCC
8_0.95-1	0.666661111140741	MCC
8_0.95-1	0.5999946000286	MCC
8_0.95-1	0.666661111140741	MCC
8_0.95-1	0.666661111140741	MCC
3_0.60-0.65	0.666666666666667	DREME
1_0.5-0.55	1	DREME
4_0.65-0.70	0.666666666666667	DREME
8_0.85-0.9	0.666666666666667	DREME
8_0.85-0.9	0.666666666666667	DREME
3_0.60-0.65	0.666666666666667	DREME
3_0.60-0.65	0.666666666666667	DREME
2_0.55-0.60	1	DREME
7_0.80-0.85	0.666666666666667	DREME
1_0.5-0.55	1	DREME
6_0.75-0.80	0.666666666666667	DREME
4_0.65-0.70	0.666666666666667	DREME
4_0.65-0.70	0.666666666666667	DREME
8_0.85-0.9	0.666666666666667	DREME
8_0.90-0.95	0.666666666666667	DREME
1_0.5-0.55	1	DREME
8_0.85-0.9	0.666666666666667	DREME
6_0.75-0.80	0.666666666666667	DREME
3_0.60-0.65	0.666666666666667	DREME
6_0.75-0.80	0.666666666666667	DREME
4_0.65-0.70	0.666666666666667	DREME
8_0.85-0.9	0.666666666666667	DREME
